personalParticipantCode;generalLoginCode;committed;scheduled;published;osVersion;smartphoneType;screening;description;delay;duration;groupsize;partner_gender;partner_close;interaction_quality;interaction_intimacy;interaction_control;interaction_intensity;emo_happy;emo_sad;emo_nervous;emo_surprise;emo_angry;emo_embarrassed;emo_ashamed;dataquality
x6mk28vz;EMOTIONALITY;12-Mar-2025 17:09:13;12-Mar-2025 16:45:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;13-Mar-2025 18:12:21;13-Mar-2025 18:03:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;13-Mar-2025 17:12:36;13-Mar-2025 17:11:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;11-Mar-2025 18:22:27;11-Mar-2025 17:28:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Sports class;2;4;5;2;1;4;1;4;1;5;1;2;2;1;1;1;1
x6mk28vz;EMOTIONALITY;11-Mar-2025 18:57:44;11-Mar-2025 18:43:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Dinner with my mom;1;2;2;1;7;5;4;3;2;5;1;1;1;1;1;1;1
x6mk28vz;EMOTIONALITY;12-Mar-2025 19:38:01;12-Mar-2025 17:35:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Gym with friend;1;5;2;1;6;5;3;3;3;4;1;2;3;1;1;1;1
x6mk28vz;EMOTIONALITY;12-Mar-2025 15:11:17;12-Mar-2025 15:11:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;11-Mar-2025 18:56:20;11-Mar-2025 18:00:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;13-Mar-2025 22:50:56;13-Mar-2025 19:41:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;11-Mar-2025 09:55:43;11-Mar-2025 09:42:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Chat with a colleague in the kitchen ;1;2;2;1;2;3;3;4;2;3;1;2;1;1;1;1;1
x6mk28vz;EMOTIONALITY;13-Mar-2025 22:51:00;13-Mar-2025 20:27:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;12-Mar-2025 14:39:43;12-Mar-2025 14:17:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Work meeting;1;5;5;4;4;4;2;4;2;3;1;1;1;1;1;1;1
x6mk28vz;EMOTIONALITY;12-Mar-2025 10:53:50;12-Mar-2025 10:52:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Short phone call;1;1;2;-1;7;5;5;3;4;4;2;1;1;1;1;1;2
x6mk28vz;EMOTIONALITY;11-Mar-2025 10:39:21;11-Mar-2025 10:26:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;13-Mar-2025 10:01:15;13-Mar-2025 10:00:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;13-Mar-2025 17:12:30;13-Mar-2025 16:22:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;11-Mar-2025 19:35:20;11-Mar-2025 19:27:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;14-Mar-2025 12:09:09;14-Mar-2025 11:33:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Asked friend for a charger;1;1;2;2;6;2;1;3;1;3;1;1;1;1;1;1;1
x6mk28vz;EMOTIONALITY;15-Mar-2025 18:00:18;14-Mar-2025 19:34:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Board game night with aunts;4;5;4;-1;-1;4;3;2;4;4;1;3;1;1;1;1;2
x6mk28vz;EMOTIONALITY;14-Mar-2025 11:36:04;14-Mar-2025 10:36:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Co-working and coffee break with friends;2;2;3;2;6;4;4;3;2;4;1;2;1;1;1;1;1
x6mk28vz;EMOTIONALITY;13-Mar-2025 15:35:36;13-Mar-2025 15:18:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;08-Mar-2025 11:53:16;08-Mar-2025 11:42:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;-1;1;2;2;1;7;2;1;3;4;2;2;3;3;4;1;1;1
d0n63h9a;EMOTIONALITY;08-Mar-2025 17:49:02;08-Mar-2025 17:48:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;10-Mar-2025 15:43:42;10-Mar-2025 15:43:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;09-Mar-2025 10:09:02;08-Mar-2025 20:05:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;08-Mar-2025 14:10:26;08-Mar-2025 13:52:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;supermarket cashier;1;1;2;2;1;-1;1;5;1;3;1;1;1;1;1;1;1
d0n63h9a;EMOTIONALITY;09-Mar-2025 10:08:58;08-Mar-2025 19:21:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;met old friend;1;5;2;2;5;5;4;2;3;4;1;1;4;1;1;1;1
d0n63h9a;EMOTIONALITY;10-Mar-2025 12:44:41;10-Mar-2025 12:42:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;08-Mar-2025 16:19:47;08-Mar-2025 16:11:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;11-Mar-2025 18:16:49;11-Mar-2025 15:26:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:10:15;09-Mar-2025 18:42:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:07:42;09-Mar-2025 18:11:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;11-Mar-2025 18:18:19;11-Mar-2025 18:11:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;farewell party;2;4;20;1;2;4;2;3;3;4;4;1;1;1;1;2;1
d0n63h9a;EMOTIONALITY;10-Mar-2025 14:41:44;10-Mar-2025 14:11:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:07:33;09-Mar-2025 15:49:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;08-Mar-2025 11:01:49;08-Mar-2025 10:59:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;-1;1;1;2;1;7;4;2;3;1;3;3;1;1;1;1;1;1
d0n63h9a;EMOTIONALITY;11-Mar-2025 18:16:10;11-Mar-2025 13:54:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;11-Mar-2025 12:32:56;11-Mar-2025 12:05:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;standup meeting;1;3;25;-1;-1;-1;-1;-1;-1;3;1;2;1;1;1;1;1
d0n63h9a;EMOTIONALITY;09-Mar-2025 10:09:06;09-Mar-2025 09:17:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;11-Mar-2025 18:16:54;11-Mar-2025 17:10:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:07:29;09-Mar-2025 15:01:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;10-Mar-2025 09:24:08;10-Mar-2025 09:18:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;-1;1;3;2;1;7;3;2;4;2;2;4;2;1;1;1;1;1
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:07:37;09-Mar-2025 17:09:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
